truth-value,predicate,data
0.9999999999999999,(NOT  "density"),"({:label ""density"", :colname ""density"", :f [[FPG 1.947223108069013 1.9195443114719128 0.23603569330008467]]})"
0.9999999999999294,(NOT  "chlorides"),"({:label ""chlorides"", :colname ""chlorides"", :f [[FPG 1.3702722348809486 1.3389779154454937 0.21638733533201893]]})"
0.9999999999976038,(NOT (AND  "density"  "alcohol")),"({:label ""density"", :colname ""density"", :f [[FPG 1.9660536703972882 1.8791843530059293 0.9618750763669454]]} {:label ""alcohol"", :colname ""alcohol"", :f [[FPG 8.944712040737317 8.86287894083042 0.8944766517393165]]})"
0.9999999998126814,(NOT  "quality"),"({:label ""quality"", :colname ""quality"", :f [[FPG 9.13194010511273 8.916293846965134 0.7629321021731547]]})"
0.9999999996880188,(NOT (AND  "citric_acid"  "chlorides")),"({:label ""citric_acid"", :colname ""citric_acid"", :f [[FPG 1.283906786485485 0.9342684758751919 0.5202564911875694]]} {:label ""chlorides"", :colname ""chlorides"", :f [[FPG 1.3711320422458173 1.2788484166256948 0.7701722954993601]]})"
0.9999999945449739,(OR (IMP  "sulphates"  "chlorides") (NOT  "free_sulfur_dioxide")),"({:label ""sulphates"", :colname ""sulphates"", :f [[FPG 2.299750245970759 2.092520936929039 0.5786846991353538]]} {:label ""chlorides"", :colname ""chlorides"", :f [[FPG 1.0985710295992717 1.0240440039718783 0.8246304363649265]]} {:label ""free_sulfur_dioxide"", :colname ""free_sulfur_dioxide"", :f [[FPG 1.7737504926144263 1.7265930407767462 0.2504876516231662]]})"
0.9999999910038279,(OR (NOT  "chlorides") (OR  "sulphates"  "density")),"({:label ""chlorides"", :colname ""chlorides"", :f [[FPG 1.4647454521176257 1.3462800518708498 0.7324948549186415]]} {:label ""sulphates"", :colname ""sulphates"", :f [[FPG 1.5085944105177376 0.5446740689508158 0.950374591194239]]} {:label ""density"", :colname ""density"", :f [[FPG 1.6648076742427453 1.1116227838759758 0.2303824640778579]]})"
0.9999999010492567,(IMP (AND  "free_sulfur_dioxide"  "sulphates") (NOT  "citric_acid")),"({:label ""free_sulfur_dioxide"", :colname ""free_sulfur_dioxide"", :f [[FPG 2.163887366624933 2.147070963870487 0.5614603230406984]]} {:label ""sulphates"", :colname ""sulphates"", :f [[FPG 0.6182599435629075 0.4691683854144607 0.012026913611236534]]} {:label ""citric_acid"", :colname ""citric_acid"", :f [[FPG 0.8485846028379527 0.03143142848429348 0.4904988436801023]]})"
0.9999997018427315,(IMP (AND  "fixed_acidity"  "volatile_acidity") (AND  "volatile_acidity"  "pH")),"({:label ""fixed_acidity"", :colname ""fixed_acidity"", :f [[FPG 7.396906620414612 5.5186704536716515 0.8489546116841747]]} {:label ""volatile_acidity"", :colname ""volatile_acidity"", :f [[FPG 2.4286087362637634 2.347533433874694 0.6814531494759698]]} {:label ""volatile_acidity"", :colname ""volatile_acidity"", :f [[FPG 2.513239389656427 0.20495377054793504 0.9964493039699296]]} {:label ""pH"", :colname ""pH"", :f [[FPG 3.97331005297667 3.4284188002547475 0.008896607083822672]]})"
0.9999996701829549,(IMP (AND  "chlorides"  "pH") (NOT  "sulphates")),"({:label ""chlorides"", :colname ""chlorides"", :f [[FPG 1.0397816353529603 0.9766738123571186 0.9847710782748146]]} {:label ""pH"", :colname ""pH"", :f [[FPG 4.556204397041399 2.830391343373589 0.5822833307681786]]} {:label ""sulphates"", :colname ""sulphates"", :f [[FPG 0.9912385859257369 0.5200865107075329 0.7175596149979678]]})"
